species common name,species latin name,family,system,location,sample size,,%,conservation designation,secondary conservation,Red list category,trophic guild,migratory status,fish size [mm],life stage,journal,journal IF,study,
silver perch,Bidyanus bidyanus,Terapontidae,freshwater,Australia,203,175,86,Y,,NT,omnivory,resident,265,adult; juveniles,Ecohydrology,2.6,Koster et al. 2021,
diamond muller,Planiliza ordensis,,freshwater,Australia,25,14,56,N,PA,LC,herbivory,resident,336,adult,Animal Migration,1.35,Saboret et al. 2021,
Bluespotted flathead,Platycephalus caeruleopunctatus,Platycephalidae,marine,Australia,48,,,,,NE,invertivory,resident,375,,Marine Ecology Progress Series,2.6,Puckeridge et al. 2021,
plotosid,Tandanus bostocki,Plotosidae,freshwater,Australia,50,,,N,,NT,,resident,387,,Ecohydrology,2.6,Storer et al. 2021,
largetooth sawfish,Pristis pristis,Pristidae,freshwater,Australia,10,3,30,Y,,CR,piscivory; invertivory,resident,1163,adult,Aquatic Conservation: Marine and Freshwater Ecosystems,3.54,Buckley et al. 2020,
freshwater cod,Maccillochella ikei,Percichthyidae,freshwater,Australia,13,12,92,Y,,EN,piscivory; invertivory,resident,441,adult,Scientific Reports,4.6,Carpenter-Bundhoo et al. 2020,
eel-tailed catfish,Tandanus tandanus,Plotosidae,freshwater,Australia,10,9,90,Y,,LC,piscivory; invertivory,resident,366,adult,Scientific Reports,4.6,Carpenter-Bundhoo et al. 2020,
Australian bass,Percalates novemaculeata,Percichthyidae,freshwater,Australia,11,11,100,Y,,LC,piscivory,catadromous,488,adult,Scientific Reports,4.6,Carpenter-Bundhoo et al. 2020,
Sand flathead,Platycephalus bassensis,Platycephalidae,marine,Australia,10,10,100,,MPA,NE,piscivory; invertivory,resident,312.5,,Science of Total Environment,9.8,Tracey et al. 2020,
black bream,Acanthopagrus butcheri,Sparidae,marine,Australia,20,20,100,Y,MPA,LC,omnivory,resident,361.5,,Science of Total Environment,9.8,Tracey et al. 2020,
brown trout,Salmo trutta,Salmonidae,marine,Australia,20,19,95,N,MPA,LC,piscivory; invertivory,anadromous,412.5,,Science of Total Environment,9.8,Tracey et al. 2020,
Mary River cod,Maccullochella mariensis,Percichthyidae,freshwater,Australia,24,17,71,Y,,EN,,resident,568,adult,Endangered Species Research,3,Espinoza et al. 2020,
cowtail stingray,Pastinachus ater,Dasyatidae,marine,Australia,7,7,100,N,,VU,,resident,390,adult,PlosONE,3.7,Martins et al. 2020,
