species common name,species latin name,family,system,location,sample size,,%,conservation designation,secondary conservation,Red list category,trophic guild,migratory status,fish size [mm],life stage,journal,journal IF,study,
bloater,Coregonus hoyi,Salmonidae,freshwater,Canada,48,23,48,,,VU,invertivory,resident,191.6,,Journal of Fish Biology,2,Klinard et al. 2019,
bluefin tuna,Thunnus thynnus,Scombridae,marine,Canada,128,101,79,Y,,LC,piscivory,resident,2480,,Scientific Reports,4.6,Block et al. 2019,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Canada,50,41,82,N,,LC,piscivory; invertivory,anadromous,,juvenile,Animal Biotelemetry,2.7,Daniels et al. 2019,
Arctic char,Salvelinus alpinus,Salmonidae,marine,Canada,30,21,70,N,,LC,piscivory; invertivory,anadromous,423,,Hydrobiologia,2.6,Mulder et al. 2019,
white sturgeon,Acipenser transmontanus,Acipenseridae,freshwater,Canada,7,7,100,Y,,VU,piscivory; invertivory,anadromous,195.4,,Fisheries Research,2.4,McLean et al. 2019,
sockeye salmon,Oncorhynchus nerka,Salmonidae,freshwater,Canada,299,,,Y,,LC,piscivory; invertivory,anadromous,110.5,,Transactions of the American Fisheries Society,1.4,Stevenson et al. 2019,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,Canada,36,36,100,N,,NE,piscivory; invertivory,resident,418,adult,Journal of Animal Ecology,4.8,Cruz-Font et al. 2019,
walleye,Sander vitreus,Percidae,freshwater,Canada,25,15,60,N,,LC,piscivory,resident,517,,Journal of Great Lakes Research,2.2,Brooks et al. 2019,
rainbow trout,Oncorhynchus mykiss,Salmonidae,freshwater,Canada,71,30,42,N,,NE,piscivory; invertivory,anadromous,490,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Watson et al. 2019,
lake trout,Salvelinus namaycush,Salmonidae,freshwater,Canada,9,8,89,N,,NE,piscivory; invertivory,resident,571,,Arctic Science,3.3,Gallagher et al. 2019,
shorthorn sculpin,Myoxocephalus scorpius,Cottidae,marine,Canada,25,17,68,,,NE,piscivory; invertivory,resident,278,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Landry et a 2019,
arctic cod,Boreogadus saida,Gadidae,marine,Canada,85,77,91,,,NE,piscivory; invertivory,resident,191,,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Landry et a 2019,
blacktip shark,Carcharhinus limbatus,Carcharhinidae,marine,Caribbean,198,88,44,Y,,VU,piscivory,resident,520,juvenile,Marine Ecology ,2.9,Legare et al. 2020,
lemon shark,Negaprion brevirostris,Carcharhinidae,marine,Caribbean,130,45,35,Y,,VU,piscivory,resident,620,juvenile,Marine Ecology ,2.9,Legare et al. 2020,
horse-eye jack,Caranx latus,Carangidae,marine,Caribbean,11,8,73,N,,LC,piscivory; invertivory,resident,608,,Animal Biotelemetry,2.7,Novak et al. 2020,
southern stingray,Hypanus americanus,Dasyatidae,marine,Caribbean,4,4,100,N,,NT,invertivory,resident,730,,Scientific Reports,4.6,Matley et al. 2019,
lane snapper,Lutjanus synagris,Lutjanidae,marine,Caribbean,2,2,100,Y,,NT,invertivory,resident,310,,Scientific Reports,4.6,Matley et al. 2019,
mangrove snapper,Lutjanus griseus,Lutjanidae,marine,Caribbean,1,1,100,Y,,LC,piscivory; invertivory,resident,440,,Scientific Reports,4.6,Matley et al. 2019,
mutton snapper,Lutjanus analis,Lutjanidae,marine,Caribbean,1,1,100,Y,,NT,piscivory; invertivory,resident,390,,Scientific Reports,4.6,Matley et al. 2019,
Atlantic tarpon,Megalops atlanticus,Megalopidae,marine,Caribbean,1,1,100,N,,VU,piscivory,resident,850,,Scientific Reports,4.6,Matley et al. 2019,
Nassau grouper,Epinephelus striatus,Epinephelidae,marine,Cayman Islands,82,20,24,Y,,CR,piscivory,resident,662.9,adult,Marine Ecology Progress Series,2.6,Blincow et al. 2020,
common carp,Cyprinus carpio,Cyprinidae,freshwater,China,9,8,89,N,,VU,invertivory,resident,352,adult,Water ,3.4,Zhang et al. 2020,
nothern pike,Esox lucius,Esocidae,freshwater,Czech Republic,12,12,100,N,,LC,piscivory,resident,785.9,adult,Freshwater Biology,3.5,Jaric et al. 2022,
wels catfish,Silurus glanis,Siluridae,freshwater,Czech Republic,15,15,100,N,,LC,piscivory,resident,385.4,adult,Freshwater Biology,3.5,Jaric et al. 2022,
tench,Tinca tinca,Cyprinidae,freshwater,Czech Republic,19,19,100,N,,LC,invertivory,resident,468.3,adult,Freshwater Biology,3.5,Jaric et al. 2022,
rudd,Scardinus erythrophtalmus,Cyprinidae,freshwater,Czech Republic,15,15,100,N,,LC,herbivory,resident,1178.6,adult,Freshwater Biology,3.5,Jaric et al. 2022,
pike ,Esox lucius,Esocidae,freshwater,Czech Republic,30,,,N,,LC,piscivory,resident,790,adult,Scientific Reports,4.6,Riha et al. 2021,
turbot,Scophthalmus maximus,Scophthalamidae,marine,Denmark,33,33,100,Y,,LC,invertivory,resident,443,adult,Journal of Sea Research,2,Baden et al. 2022,
European flounder,Platichthys flesus,Pleuronectidae,marine,Denmark,27,26,96,N,PA,LC,piscivory; invertivory,resident,332,adult,Journal of Sea Research,2,Baden et al. 2022,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Denmark,66,66,100,N,,LC,piscivory; invertivory,anadromous,750,adult,Scientific Reports,4.6,Birnie-Gauvin et al. 2019,
seatrout,Salmo trutta,Salmonidae,marine,Denmark,72,72,100,N,,LC,piscivory; invertivory,anadromous,650,adult,Scientific Reports,4.6,Birnie-Gauvin et al. 2019,
round goby,Neogobius melanostomus,Gobiidae,marine,Denmark,50,14,28,N,,LC,invertivory,resident,159,adult,Fisheries Management and Ecology,2,Christoffersen et al. 2019,
north sea houting,Coregonus oxyrinchus,Salmonidae,freshwater,Denmark,78,56,72,Y,,EX,invertivory,anadromous,427,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Hertz et al. 2019,
asp,Aspius aspius,Cyprinidae,freshwater,Estonia,54,53,98,N,EU-Berne Convention,LC,piscivory,resident,664,adult,Environmental Biology of Fishes,1.6,Kargenberg et al. 2022,
asp,Leuciscus aspius,Cyprinidae,freshwater,Estonia,54,,,N,Habitat directive,LC,piscivory,resident,664,adult,Journal of Fish Biology,2,Kragenberg et al. 2020,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Estonia,38,28,74,N,,LC,piscivory; invertivory,anadromous,,juvenile,Fisheries Management and Ecology,2,Kargenberg et al. 2020,
brown trout,Salmo trutta,Salmonidae,freshwater,Falkland,25,12,48,N,,LC,piscivory; invertivory,anadromous,360,,Evolutionary Applications,4.1,Minett et al. 2021,
sea bream,Sparus aurata,Sparidae,marine,France,81,72,89,N,,LC,piscivory,resident,272,adult,"Estuarine, Coastal and Shelf Science",2.8,Mignucci et al. 2023,
European seabass,Dicentrarchus labrax,Moronidae,marine,France,59,58,98,N,,LC,piscivory,resident,383,adult,"Estuarine, Coastal and Shelf Science",2.8,Mignucci et al. 2023,
salema,Sarpa salpa,Sparidae,marine,France,86,81,94,N,,LC,herbivory,resident,279,adult,"Estuarine, Coastal and Shelf Science",2.8,Mignucci et al. 2023,
brown meagre,Sciaena umbra,Sciaenidae,marine,France,20,20,100,Y,Conventions,NT,piscivory; invertivory,resident,,juvenile,Marine Environmental Research,3.3,Ducos et al. 2022,
common dentex,Dentex dentex,Sparidae,marine,France,20,14,70,Y,,VU,piscivory; invertivory,resident,,juvenile,Marine Environmental Research,3.3,Ducos et al. 2022,
European eel,Anguilla anguilla,Anguillidae,freshwater,France,182,84,46,Y,,CR,piscivory,catadromous,721,adult,Journal for Nature Conservation,2,Borgeaux et al. 2022,
pikeperch,Sander lucioperca,Percidae,freshwater,France,36,25,69,N,,LC,piscivory,resident,419,adult,Hydroecologie Appliquee,1.43,Roy et al. 2021,
pike,Esox lucius,Esocidae,freshwater,France,27,10,37,N,,LC,piscivory,resident,527,adult,Hydroecologie Appliquee,1.43,Roy et al. 2021,
perch,Perca fluviatilis,Percidae,freshwater,France,27,19,70,N,,LC,piscivory; invertivory,resident,403,adult,Hydroecologie Appliquee,1.43,Roy et al. 2021,
European eel,Anguilla anguilla,Anguillidae,freshwater,France,16,13,81,Y,,CR,piscivory,catadromous,,,Ecology of Freshwater Fish,1.8,Trancart et al. 2020,
seabream,Sparus aurata,Sparidae,marine,France,56,27,48,N,,LC,piscivory,resident,260,,Aquaculture Environment Interactions,2.2,Richard et al. 2020,
undulate ray,Raja undulata,Rajidae,marine,France,144,136,94,N,,EN,piscivory; invertivory,resident,640,,Ocean and Coastal Management,4.6,Morfin et al. 2019,
atlantic salmon,Salmo salar,Salmonidae,freshwater,France,100,60,60,N,,LC,piscivory; invertivory,anadromous,150.9,juvenile,Ecological Engineering,3.8,Tetard et al. 2019,
gery reef shark,Carcharhinus amblyrhynchos,Carcharhinidae,marine,French Polynesia,38,33,87,N,"MPA, PA",EN,piscivory; invertivory,resident,1410,,Journal of Animal Ecology,4.8,Papastamatiou et al. 2021,
,Albula glossodonta,Albulidae,marine,French Polynesia,43,32,74,Y,,VU,invertivory,resident,530,,Environmental Biology of Fishes,1.6,Filous et al. 2020,
camouflage grouper,Epinephelus polyphekadion,Epinephelidae,marine,French Polynesia,37,12,32,Y,PA,VU,piscivory; invertivory,resident,489,,Coral Reefs,3.8,Mourier et al. 2019,
common carp,Cyprinus carpio,Cyprinidae,freshwater,Germany,122,36,30,N,,VU,invertivory,resident,540,adult,Movement Ecology,2.5,Monk et al. 2023,
barbel,Barbus barbus,Cyprinidae,freshwater,Germany,22,20,91,N,,LC,invertivory,resident,498,adult,Movement Ecology,2.5,Mawer et al. 2023,
grayling,Thymallus thymallus,Salmonidae,freshwater,Germany,25,11,44,N,,LC,invertivory,resident,367,adult,Movement Ecology,2.5,Mawer et al. 2023,
pike ,Esox lucius,Esocidae,marine,Germany,316,210,66,N,,LC,piscivory,resident,764,adult,Fisheries Research,2.4,Dhellemmes et al. 2023,
pike ,Esox lucius,Esocidae,freshwater,Germany,50,,,N,,LC,piscivory,resident,550,,Proceedings of the National Academy of Sciences of the United States of america,12,Monk et al. 2021,
pike ,Esox lucius,Esocidae,freshwater,Germany,160,114,71,N,,LC,piscivory,resident,480,adult,Journal of Animal Ecology,4.8,Monk et al. 2020,
wels catfish,Silurus glanis,Siluridae,freshwater,Germany,33,,,N,,LC,piscivory,resident,1202.2,adult,Journal of Animal Ecology,4.8,Monk et al. 2020,
yellowfin tuna,Tunnus albacares,Scombridae,marine,Guinea,20,20,100,Y,,LC,piscivory,resident,560,,Fisheries Research,2.4,Tollotti et al. 2020,
bigeye tuna,Tunnus obesus,Scombridae,marine,Guinea,23,21,91,Y,,VU,piscivory,resident,530,,Fisheries Research,2.4,Tollotti et al. 2020,
skipjack tuna,Katsuwonus pelamis,Scombridae,marine,Guinea,7,7,100,Y,,LC,piscivory,resident,470,,Fisheries Research,2.4,Tollotti et al. 2020,
silky shark,Carcharhinus falciformis,Carcharhinidae,marine,Guinea,18,4,22,Y,,VU,piscivory,resident,1102,,Fisheries Research,2.4,Tollotti et al. 2020,
rainbow runner,Elagatis bipinnulata,Carangidae,marine,Guinea,19,19,100,N,,LC,piscivory; invertivory,resident,362,,Fisheries Research,2.4,Tollotti et al. 2020,
oceanic tiggerfish,Canthidermis maculata,Balistidae,marine,Guinea,20,16,80,N,,LC,filter feeder; inventivory,resident,578,,Fisheries Research,2.4,Tollotti et al. 2020,
crimson jibfish,Pristipomoides filamentosus,Lutjanidae,marine,Hawaii,179,168,94,Y,,LC,piscivory; invertivory,resident,455,,Fishery Bulletin,0.8,Scherrer & Weng 2020,
reef manta ray,Mobula alfredi,Mobulidae,marine,Indonesia,27,25,93,Y,MPA,VU,filter feeder,resident,3215,adult,Animal Behaviour,2.5,Perryman et al. 2022,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Ireland,59,42,71,N,,LC,piscivory; invertivory,anadromous,163,juvenile,Journal of Fish Biology,2,Kennedy et al. 2022,
brown trout,Salmo trutta,Salmonidae,freshwater,Ireland,80,73,91,N,,LC,piscivory; invertivory,anadromous,409.5,adult,Biology and Environment,0.73,Kennedy et al. 2021,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Ireland,100,80,80,N,,LC,piscivory; invertivory,anadromous,147.6,juvenile,Fisheries Management and Ecology,2,Barry et al. 2020,
brown trout,Salmo trutta,Salmonidae,freshwater,Ireland,6,6,100,N,,LC,piscivory; invertivory,anadromous,260,,Aquatic Sciences,2.7,Barry et al. 2020,
dace,Leuciscus leuciscus,Cyprinidae,freshwater,Ireland,6,6,100,N,,LC,invertivory,resident,194,,Aquatic Sciences,2.7,Barry et al. 2020,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Ireland,68,,,N,,LC,piscivory; invertivory,anadromous,137.2333333,,Ecology of Freshwater Fish,1.8,Newton et al. 2019,
common lionfish,Pterois miles,Scorpaenidae,marine,Israel,11,8,73,N,,LC,piscivory,resident,251,,Frontiers in Marine Science,3.7,Gavriel et al. 2021,
rainbow trout,Oncorhynchus mykiss,Salmonidae,freshwater,Italy,12,,,N,,NE,piscivory; invertivory,anadromous,298.9,,Animals,3,Zupa et al. 2021,
common carp,Cyprinus carpio,Cyprinidae,freshwater,Japan,21,10,48,N,,VU,invertivory,resident,,,Animal Biotelemetry,2.7,Yoshida & Mabuchi 2023,
black sea bream,Acathopagrus schlegelii,Sparidae,marine,Japan,23,18,78,N,,LC,omnivory,resident,425,adult,Fisheries Science,1.8,Takakura et al. 2023,
Gin-buna crucian carp,Carassius sp.,Cyprinidae,freshwater,Japan,3,3,100,N,,NE,omnivory,resident,41.3,adult,Ichthyological Research,1,Yoshida et al. 2023,
Pacific herring,Culpea pallasi,Culpeidae,marine,Japan,71,49,69,Y,,DD,invertivory,resident,238,,Fisheries Research,2.4,Tomiyasu et al. 2021,
blue humphead parrotfish,Scarus ovifrons,Labridae,marine,Japan,5,4,80,N,PA,DD,,resident,598,,Journal of Fish Biology,2,Gomi et al. 2021,
black rockfish,Sebastes schlegelii,Sebastidae,marine,Japan,10,10,100,N,,NE,invertivory,resident,305.5,adult,Journal of Marine Science and Technology (Taiwan),0.46,Kuroda et al. 2021,
masu salmon,Oncorhynchus masou,Salmonidae,freshwater,Japan,5,5,100,N,,EN,piscivory; invertivory,anadromous,465,adult,Journal of Fish Biology,2,Ohkuma et al. 2020,
longtail red snapper,Etelis coruscans,Lutjanidae,marine,Japan,8,6,75,Y,,LC,invertivory,resident,495,juvenile,Fisheries Science,1.8,Okuyama et al. 2019,
manta ray,Mobula birostris,Mobulidae,marine,Mexico,66,48,73,Y,,EN,filter feeder,resident,,,Marine Biology,2.5,Dominigues-Sanchez et al. 2023,
Munky's pygmy devil ray,Mobula munkiana,Mobulidae,marine,Mexico,7,7,100,N,International protection laws,VU,filter feeder; inventivory,resident,608.5,adult; juveniles,Scientific Reports,4.6,Palacios et al. 2021,
reef manta ray,Mobula alfredi,Mobulidae,marine,Mozambique,42,36,86,Y,,VU,filter feeder,resident,,adult; juveniles,Marine Ecology Progress Series,2.6,Venables et al. 2020,
giant trevally,Caranx ignobilis,Carangidae,marine,Mozambique,30,25,83,N,,LC,piscivory,resident,822,adult,Marine Ecology Progress Series,2.6,Daly et al. 2019,
roach,Rutilius rutilus,Cyprinidae,freshwater,Netherlands,20,18,90,N,,LC,omnivory,resident,261,adult,Movement Ecology,2.5,van Leeuven et al. 2023,
common bream,Abramis brama,Cyprinidae,freshwater,Netherlands,18,16,89,N,,LC,omnivory,resident,398,adult,Movement Ecology,2.5,van Leeuven et al. 2023,
ide,Leuciscus idus,Cyprinidae,freshwater,Netherlands,12,10,83,N,,LC,omnivory,resident,281,adult,Movement Ecology,2.5,van Leeuven et al. 2023,
pikeperch,Sander lucioperca,Percidae,freshwater,Netherlands,20,19,95,N,,LC,piscivory,resident,435,adult,Movement Ecology,2.5,van Leeuven et al. 2023,
perch,Perca fluviatilis,Percidae,freshwater,Netherlands,20,15,75,N,,LC,piscivory; invertivory,resident,261,adult,Movement Ecology,2.5,van Leeuven et al. 2023,
European eel,Anguilla anguilla,Anguillidae,freshwater,Netherlands,305,127,42,Y,,CR,piscivory,catadromous,800,adult,River Research and Applications,2.2,van Keeken et al. 2023,
sea lamprey,Petromyzon marinus,Petromyzontidae,marine,Netherlands,25,25,100,N,,LC,parasitic; filter feeders,anadromous,785,adult,River Research and Applications,2.2,Griffioen et al. 2022,
European eel,Anguilla anguilla,Anguillidae,marine,Netherlands,93,91,98,Y,,CR,piscivory,catadromous,724.3333333,adult,Fisheries Management and Ecology,2,van Keeken et al. 2021,
pikeperch,Sander lucioperca,Percidae,marine,Netherlands,50,50,100,N,,LC,piscivory,resident,520,,Journal of Coastal Conservation,2.2,Breve et al. 2019,
,Plectropomus leopardus,Serranidae,marine,New Caledonia,10,4,40,Y,,LC,piscivory,resident,495,,Environmental Biology of Fishes,1.6,Chateau & Wantiez 2021,
,Chlorurus microrhinos,Scaridae,marine,New Caledonia,10,5,50,N,PA,LC,herbivory,resident,385,,Environmental Biology of Fishes,1.6,Chateau & Wantiez 2021,
,Scarus ghobban,Scaridae,marine,New Caledonia,10,5,50,N,,LC,invertivory,resident,390,,Environmental Biology of Fishes,1.6,Chateau & Wantiez 2021,
shortfin eel,Anguilla australis,Anguillidae,freshwater,New Zealand,25,21,84,N,,NT,omnivory,catadromous,901.6,,Science of Total Environment,9.8,Baker et al. 2020,
brown trout,Salmo trutta,Salmonidae,freshwater,Norway,31,30,97,N,,LC,piscivory; invertivory,anadromous,540,adult,Movement Ecology,4.3,Dahlmo et al. 2023,
Atlantic cod,Gadus morhua,Gadidae,marine,Norway,135,,,N,,VU,piscivory,resident,635,adult,ICES Journal of Marine Science,3.5,McQueen et al. 2023,
Arctic char,Salvelinus alpinus,Salmonidae,marine,Norway,48,45,94,N,,LC,piscivory; invertivory,anadromous,220,adult,Marine Ecology Progress Series,2.6,Nordli et al. 2023,
brown trout,Salmo trutta,Salmonidae,marine,Norway,49,49,100,N,,LC,piscivory; invertivory,anadromous,426.5,,Journal of Fish Biology,2,Davidsen et al. 2023,
Arctic char,Salvelinus alpinus,Salmonidae,marine,Norway,21,21,100,N,,LC,piscivory; invertivory,anadromous,332,,Journal of Fish Biology,2,Davidsen et al. 2023,
Atlantic cod,Gadus morhua,Gadidae,marine,Norway,231,181,78,N,,VU,piscivory,resident,584,adult,ICES Journal of Marine Science,3.5,Mcqueen et al. 2022,
Atlantic cod,Gadus morhua,Gadidae,marine,Norway,566,544,96,N,PA,VU,piscivory,resident,463.5,,Evolutionary Applications,4.1,Villegas-Rios et al. 2022,
atlantic salmon,Salmo salar,Salmonidae,marine,Norway,444,173,39,N,,LC,piscivory; invertivory,anadromous,145,juvenile,ICES Journal of Marine Science,3.5,Jansen et al. 2022,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Norway,20,8,40,N,,LC,piscivory; invertivory,anadromous,143,juvenile,Ecology of Freshwater Fish,1.8,Hanssen et al. 2022,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Norway,45,22,49,N,,LC,piscivory; invertivory,anadromous,147.9,juvenile,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Nash et al. 2022,
brown trout,Salmo trutta,Salmonidae,freshwater,Norway,27,21,78,N,,LC,piscivory; invertivory,anadromous,513,adult,Canadian Journal of Fisheries and Aquatic Sciences,2.5,Nash et al. 2022,
Atlantic cod,Gadus morhua,Gadidae,marine,Norway,558,535,96,N,PA,VU,piscivory,resident,658,adult,Aquaculture Environment Interactions,2.2,Skjaeraasen et al. 2022,
brown trout,Salmo trutta,Salmonidae,freshwater,Norway,74,73,99,N,,LC,piscivory; invertivory,anadromous,238,,Ecohydrology,2.6,Lennox et al 2022,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Norway,6,5,83,N,,LC,piscivory; invertivory,anadromous,469,adult,Animal Biotelemetry,2.7,Alfredsen et al. 2021,
brown trout,Salmo trutta,Salmonidae,freshwater,Norway,16,14,88,N,,LC,piscivory; invertivory,anadromous,484,adult,Animal Biotelemetry,2.7,Alfredsen et al. 2021,
atlantic salmon,Salmo salar,Salmonidae,marine,Norway,23,21,91,N,,LC,piscivory; invertivory,anadromous,,,Aquacultural Engineering,4,Ulvund et al. 2021,
Atlantic cod,Gadus morhua,Gadidae,marine,Norway,75,,,N,,VU,piscivory,resident,480,,Journal of Animal Ecology,4.8,Freitas et al. 2021,
pollack,Pollachius pollachius,Gadidae,marine,Norway,19,,,N,,LC,piscivory,resident,400,,Journal of Animal Ecology,4.8,Freitas et al. 2021,
ballan wrasse,Labrus bergylta,Labridae,marine,Norway,17,,,N,,LC,invertivory,resident,350,,Journal of Animal Ecology,4.8,Freitas et al. 2021,
brown trout,Salmo trutta,Salmonidae,marine,Norway,116,96,83,N,,LC,piscivory; invertivory,anadromous,337,adult,Evolutionary Applications,4.1,Thorbjorsen et al. 2021,
Atlantic cod,Gadus morhua,Gadidae,marine,Norway,51,37,73,N,,VU,piscivory,resident,393,,Current Biology,9.2,van der Knaap et al. 2021,
brown trout,Salmo trutta,Salmonidae,marine,Norway,160,158,99,N,,LC,piscivory; invertivory,anadromous,481,,Journal of Fish Diseases,2.5,Lennox et al. 2020,
brown trout,Salmo trutta,Salmonidae,marine,Norway,145,143,99,N,,LC,piscivory; invertivory,anadromous,180,,Marine Ecology Progress Series,2.6,Serra-Llinares et al. 2020,
Atlantic cod,Gadus morhua,Gadidae,marine,Norway,70,48,69,N,,VU,piscivory,resident,460,,Molecular Ecology,4.9,Barth et al. 2019,
brown trout,Salmo trutta,Salmonidae,marine,Norway,60,57,95,N,,LC,piscivory; invertivory,anadromous,340,,Ecology and Evolution,2.6,Thorbjorsen et al. 2019,
giant mottled eel,Anguilla marmorata,Anguillidae,freshwater,Philippines,79,68,86,N,PA,LC,piscivory,catadromous,545.5,,Aquatic Conservation: Marine and Freshwater Ecosystems,3.541,Piper et al. 2022,
thersher shark,Alopias pelagicus,Alopiidae,marine,Philippines,14,10,71,Y,,EN,piscivory; invertivory,resident,,adult; juveniles,Biological Conservation,5.9,Olivier et al. 2019,
brown trout,Salmo trutta,Salmonidae,freshwater,Poland,31,22,71,N,,LC,piscivory; invertivory,anadromous,335.2,,Fisheries and Aquatic Life,0.46,Mierzejewska et al. 2022,
common stingray,Dasyatis pastinaca,Dasyatidae,marine,Portugal,31,25,81,N,MPA,VU,invertivory,resident,340,adult,Ocean and Coastal Management,4.6,Kraft et al. 2023,
white bream,Diplodus sargus,Sparidae,marine,Portugal,35,33,94,N,MPA,LC,invertivory,resident,298.5,,ICES Journal of Marine Science,3.5,De Benito-Abello et al. 2022,
Nassau grouper,Epinephelus striatus,Epinephelidae,marine,Puerto Rico,29,26,90,Y,,CR,piscivory,resident,652,adult,Aquatic Conservation: Marine and Freshwater Ecosystems,3.541,Touhy et al. 2023,
bonefish,Albula vulpes,Albulidae,marine,Puerto Rico,43,43,100,Y,,NT,invertivory,resident,520.5,adult,Environmental Biology of Fishes,1.6,Griffin et al. 2023,
bonefish,Albula vulpes,Albulidae,marine,Puerto Rico,29,29,100,Y,,NT,invertivory,resident,530,,Marine Biology,2.5,Brownscombe et al. 2019,
giant trevally,Caranx ignobilis,Carangidae,marine,Republic of Seychelles,17,14,82,N,MPA,LC,piscivory,resident,823.2,adult; juveniles,Marine Ecology Progress Series,2.6,Daly et al. 2022,
skipjack,Katsuwonus pelamis,Scombridae,marine,Republic of Seychelles,17,13,76,Y,,LC,piscivory,resident,490,,Fisheries Oceanography,2.6,Govinden et al. 2021,
yellowfin,Thunnus albacares,Scombridae,marine,Republic of Seychelles,31,27,87,Y,,LC,piscivory,resident,620,,Fisheries Oceanography,2.6,Govinden et al. 2021,
bigeye,Thunnus obesus,Scombridae,marine,Republic of Seychelles,8,6,75,Y,,VU,piscivory,resident,535,,Fisheries Oceanography,2.6,Govinden et al. 2021,
yellowfin tuna,Thunnus albacares,Scombridae,marine,Republic of Seychelles,30,27,90,Y,,LC,piscivory,resident,645,adult; juveniles,Fisheries Research,2.4,Filous et al. 2020,
shoemaker spinefoot,Siganus sutor,Siganidae,marine,Republic of Seychelles,25,15,60,N,,LC,herbivory,resident,240.5,adult,Journal of Fish Biology,2,Ebrahim et al. 2020,
humphead wrasse,Cheilinus undulatus,Labridae,marine,Republic of Seychelles,20,19,95,Y,,EN,piscivory; invertivory,resident,979.5,adult,Endangered Species Research,3,Daly et al. 2020,
bonefish,Albula glossodonta,Albulidae,marine,Republic of Seychelles,30,16,53,Y,,VU,invertivory,resident,,,Environmental Biology of Fishes,1.6,Moxham et al. 2019,
European catfish,Silurus glanis,Siluridae,freshwater,Romania,1,1,100,N,,LC,piscivory,resident,2000,adult,International Review of Hydrobiology,1.9,Lenhardt et al. 2021,
beluga sturgeon,Huso huso,Acipenseridae,freshwater,Romania,23,23,100,Y,,CR,piscivory; invertivory,anadromous,2145,adult,Turkish Journal of Zoology,0.8,Hont et al. 2019,
stellate sturgeon,Acipenser stellatus,Acipenseridae,freshwater,Romania,21,21,100,Y,,CR,piscivory; invertivory,anadromous,1135,adult,Turkish Journal of Zoology,0.8,Hont et al. 2019,
atlantic salmon,Salmo salar,Salmonidae,freshwater,Scotland,125,49,39,N,,LC,piscivory; invertivory,anadromous,145.47,juvenile,Environmental Biology of Fishes,1.6,Lilly et al. 2022,
atlantic salmon,Salmo salar,Salmonidae,marine,Scotland,120,,,N,,LC,piscivory; invertivory,anadromous,144.3,juvenile,ICES Journal of Marine Science,3.5,Newton et al. 2021,
brown trout,Salmo trutta,Salmonidae,marine,Scotland,33,32,97,N,,LC,piscivory; invertivory,anadromous,336.7,,Ecology of Freshwater Fish,1.8,Honkanen et al. 2020,
giant trevally,Caranx ignobilis,Carangidae,marine,South Africa,4,4,100,N,MPA,LC,piscivory,resident,916,adult,Zoo Biology ,1.3,Mann et al. 2023,
spotted grunter,Pomadasys commersonnii,Haemulidae,marine,South Africa,7,7,100,N,PA,LC,piscivory; invertivory,resident,645,adult,African Journal of Marine Science,1.2,Ziko et al. 2023,
blue stingray,Dasyatis chrysonota,Dasyatidae,marine,South Africa,27,25,93,N,MPA,NT,piscivory; invertivory,resident,555,adult,Biodiversity and Conservation,3.7,Elston et al. 2023,
white shark,Carcharodon carcharias,Lamnidae,marine,South Africa,19,,,Y,,VU,piscivory,resident,2731,,Animal Biotelemetry,2.7,Gennari et al. 2022,
catface rockcod,Mycteroperca andersoni,Epinephelidae,marine,South Africa,20,11,55,N,MPA,NT,piscivory; invertivory,resident,,,African Journal of Marine Science,1.2,Mann et al. 2022,
flathead mullet,Mugil cephalus,Mugilidae,marine,South Africa,6,,,Y,PA,LC,filter feeder,resident,328,,"Estuarine, Coastal and Shelf Science",2.8,Bornman et al. 2021,
dusky grouper,Epinephelus marginatus,Epinephelidae,marine,Spain,16,14,88,Y,,VU,piscivory,resident,7400,adult,Journal of Environmental Management,8.7,Perenizguez et al. 2023,
thornback skate,Raja clavata,Rajidae,marine,Spain,14,9,64,N,MPA,NT,piscivory; invertivory,resident,347.9,,Aquatic Living Resources,1.3,Papadopoulo et al. 2023,
blonde skate,Raja brachyura,Rajidae,marine,Spain,3,3,100,N,,NT,piscivory; invertivory,resident,420,,"Estuarine, Coastal and Shelf Science",2.8,Alonso-Fernandez et al. 2022,
thornback skate,Raja clavata,Rajidae,marine,Spain,14,9,64,N,,NT,piscivory; invertivory,resident,348,,"Estuarine, Coastal and Shelf Science",2.8,Alonso-Fernandez et al. 2022,
undulata skate,Raja undulata,Rajidae,marine,Spain,2,2,100,N,,EN,piscivory; invertivory,resident,390,,"Estuarine, Coastal and Shelf Science",2.8,Alonso-Fernandez et al. 2022,
